Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
Kent-Sussex-Wessex	1038	SO600	ATH	Hastings – Ore Start / End of Electrification	82	34	81	42	4	R1	R1 Prohibited on the Down line
Kent-Sussex-Wessex	1038	SO600	ATH	Ore Start / End of Electrification – Jn with Hastings line	81	42	56	20	7	R1 R2 R3	R1 Prohibited between Ore and connection to the Single line on the Down Ore line R2 Prohibited between Ore Single line connection and Doleham on the Single line R3 Prohibited between Ham Street and Jn with Hasting line on the Up line
Kent-Sussex-Wessex	1038	SO620	BTL	Montpelier Jn – Lewes	0	14	7	77	8	R11	R1 Prohibited between Montpelier Jn and London Road on the Up line
Kent-Sussex-Wessex	1038	SO620	KJE1/2	Lewes – Southerham Jn (Duplicated on SO590)	49	74	51	11	8	Y	
Kent-Sussex-Wessex	1038	SO620	STS	Southerham Jn – Newhaven Harbour Jn	51	11	56	55	7	Y	
Kent-Sussex-Wessex	1038	SO620	NHB	Newhaven Harbour Jn – Wharf Road (Newhaven Marine)	56	55	57	78	7	Y	
Kent-Sussex-Wessex	1038	SO620	STS	Newhaven Harbour Jn – Seaford	56	55	58	77	7	Y	
Kent-Sussex-Wessex	1038	SO630	BLI1	Brighton platforms 1 and 2 – Hove Jn	0	00	1	28	8	Y	
Kent-Sussex-Wessex	1038	SO630	BLI1	Hove Jn – Hove platforms 2 and 3	1	28	1	35	8	Y	
Kent-Sussex-Wessex	1038	SO630	PPH	Hove Jn – Hove Up platform loop via platform 1	50	48	51	02	8	Y	
Kent-Sussex-Wessex	1038	SO630	BLI1	Hove Up platform loop and platforms 2, and 3 – Arundel Jn	1	28	19	01	8	Y	
Kent-Sussex-Wessex	1038	SO630	BLI1	Arundel Jn – Littlehampton Jn (Change of Mileage)	19	01	19	25	8	Y	
Kent-Sussex-Wessex	1038	SO630	FJL	Littlehampton Jn – Ford Jn	60	57	60	26	8	Y	
Kent-Sussex-Wessex	1038	SO630	BLI2	Littlehampton Jn (Change of Mileage) – Littlehampton	60	57	62	03	8	Y	
Kent-Sussex-Wessex	1038	SO640	BBR	Barnham – Bognor Regis	22	29	25	75	8	R1	R1 Prohibited Bognor Regis platform 2 (Up Main line)
Kent-Sussex-Wessex	1038	SO645	ATL	Battersea Park – Factory Jn	7	27	6	67	8	Y	
Kent-Sussex-Wessex	1038	SO645	ATL	Factory Jn – Wandsworth Road Jn	6	67	6	53	8	Y	
Kent-Sussex-Wessex	1038	SO645	ATL	Wandsworth Road Jn – Shepherds Lane Jn	6	53	5	68	8	Y	
Kent-Sussex-Wessex	1038	SO645	ATL	Shepherds Lane Jn – Crofton Road Jn	5	68	3	67	8	Y	
Kent-Sussex-Wessex	1038	SO645	ATL	Crofton Road Jn – Peckham Rye Jn	3	67	3	47	8	Y	
Kent-Sussex-Wessex	1038	SO650	BBJ	Balham Jn (SO500) – Leigham Jn	4	69	6	31	8	R1 R2	R1 Prohibited between Streatham Hill station and Leigham Jn on the Down Crystal Palace line R2 Prohibited between Streatham Hill station and Leigham Jn on the Up Crystal Palace line
Kent-Sussex-Wessex	1038	SO650	BBJ	Leigham Jn – West Norwood Jn	6	31	6	58	8	Y	
