Kent-Sussex-Wessex	1005	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	442	444	450	455	456	458	508	700	Notes
Kent-Sussex-Wessex	1005	SW100	JAT	Waterloo platforms 20-24	International Jn	Waterloo platforms 20-24 – International Jn	00	00	0	38	R1	Y	Y	Y	Y	Y	N	N	R1 Prohibited Waterloo platforms 21 and 23
Kent-Sussex-Wessex	1005	SW100	RDG1	Waterloo platforms 12-19	International Jn (Windsor lines)	Waterloo platforms 12-19 – International Jn (Windsor lines)	0	00	0	38	N	Y	Y	Y	Y	Y	Y	N	
Kent-Sussex-Wessex	1005	SW100	RDG1	International Jn	Carlisle Lane Jn (Windsor lines)	International Jn – Carlisle Lane Jn (Windsor lines)	0	38	0	42	Y	Y	Y	Y	Y	Y	Y	N	
Kent-Sussex-Wessex	1005	SW100	RDG1	Carlisle Lane Jn	Nine Elms Jn (Windsor lines)	Carlisle Lane Jn – Nine Elms Jn (Windsor lines)	0	42	2	00	Y	Y	Y	Y	Y	Y	Y	N	
Kent-Sussex-Wessex	1005	SW100	BML1	Waterloo platforms 1-11	International Jn (Main lines)	Waterloo platforms 1-11 – International Jn (Main lines)	0	00	0	38	R1 R2	R1 R2	Y	Y	Y	Y	Y	N	R1 Prohibited Waterloo platforms 1-4 R2 Access to Waterloo platforms 5, 6 and 7 via Up Main Fast line only – unless under special instruction from the Signaller
Kent-Sussex-Wessex	1005	SW100	BML1	International Jn	Carlisle Lane Jn (Main lines)	International Jn – Carlisle Lane Jn (Main lines)	0	38	0	42	Y	Y	Y	Y	Y	Y	Y	N	
Kent-Sussex-Wessex	1005	SW100	BML1	Carlisle Lane Jn	Nine Elms Jn (Main lines)	Carlisle Lane Jn – Nine Elms Jn (Main lines)	0	42	2	00	Y	Y	Y	Y	Y	Y	Y	N	
Kent-Sussex-Wessex	1005	SW100	AHG	Nine Elms Jn	Route Boundary (Kent SO110) (Lindford Street Jn)	Nine Elms Jn – Route Boundary (Kent SO110) (Lindford Street Jn)	2	00	2	44	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1005	SW100	RDG1	Nine Elms Jn	West London Jn (Windsor lines)	Nine Elms Jn – West London Jn (Windsor lines)	2	00	3	17	Y	Y	Y	Y	Y	Y	Y	N	
Kent-Sussex-Wessex	1005	SW100	BML1	Nine Elms Jn	Crossovers at 2m 65ch (Main lines)	Nine Elms Jn – Crossovers at 2m 65ch (Main lines)	2	00	2	65	Y	Y	Y	Y	Y	Y	Y	N	
Kent-Sussex-Wessex	1005	SW100	BML1	Crossovers at 2m 65	West London Jn (Main lines)	Crossovers at 2m 65 – West London Jn (Main lines)	2	65	3	17	Y	Y	Y	Y	Y	Y	Y	N	
Kent-Sussex-Wessex	1005	SW100	SCC	West London Jn	Route Boundary (Sussex SO250) (Lathmere Jn No.3)	West London Jn – Route Boundary (Sussex SO250) (Lathmere Jn No.3)	3	17	3	30	N	N	N	N	N	N	Y	N	
Kent-Sussex-Wessex	1005	SW100	RDG1	West London Jn	Ludgate Jn (Windsor lines)	West London Jn – Ludgate Jn (Windsor lines)	3	17	3	57	Y	Y	Y	Y	Y	Y	Y	N	
