Kent-Sussex-Wessex	0935	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	RA	57	58	59	60	66	67	68	70	73	97/3	Notes
Kent-Sussex-Wessex	0935	SO520	TBH1	Billingshurst	Arundel Jn	Billingshurst – Arundel Jn	44	71	59	75	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0935	SO520	TBH2	Arundel Jn	Barnham	Arundel Jn –Barnham	19	01	22	29	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0935	SO520	TBH2	Barnham	Route Boundary (SW110) (Havant Jn)	Barnham – Route Boundary (SW110) (Havant Jn)	22	29	35	35	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0935	SO520	TBH2	Route Boundary Sussex (Barnham)	Havant Jn [Duplicated on SW110]	Route Boundary Sussex (Barnham) – Havant Jn [Duplicated on SW110]	35	35	37	24	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0935	SO520	WPH2	Havant Jn	Farlington Jn [Duplicated on SW110]	Havant Jn – Farlington Jn [Duplicated on SW110]	37	24	40	33	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0935	SO520	WPH2	Farlington Jn	Portcreek Jn [Duplicated on SW110]	Farlington Jn – Portcreek Jn [Duplicated on SW110]	40	33	41	03	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0935	SO520	WPH2	Portcreek Jn	Blackfriars Jn [Duplicated on SW110]	Portcreek Jn – Blackfriars Jn [Duplicated on SW110]	41	03	44	50	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0935	SO520	WPH2	Blackfriars Jn	Portsmouth and Southsea High Level [Duplicated on SW110]	Blackfriars Jn – Portsmouth and Southsea High Level [Duplicated on SW110]	44	26	44	50	7	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0935	SO520	PAS	Blackfriars Jn	Portsmouth and Southsea Low Level [Duplicated on SW110]	Blackfriars Jn – Portsmouth and Southsea Low Level [Duplicated on SW110]	44	26	44	50	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0935	SO520	WPH2	Portsmouth and Southsea High Level	Portsmouth Harbour *platforms 4 and 5 RA7 *platforms 1 and 3 RA4 [Duplicated on SW110]	Portsmouth and Southsea High Level – Portsmouth Harbour *platforms 4 and 5 RA7 *platforms 1 and 3 RA4 [Duplicated on SW110]	44	50	45	36	7*	Y	Y	Y	Y	Y	Y	Y	Y	R1	Y	R1 Prohibited from platforms 1 & 3 at Portsmouth Harbour unless hauling Infrastructure Monitoring Trains
Kent-Sussex-Wessex	0935	SO530	SCU1	South Croydon Jn (SO600)	Sanderstead	South Croydon Jn (SO600) – Sanderstead	11	29	12	23	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0935	SO530	SCU1	Sanderstead	Hurst Green Jn	Sanderstead – Hurst Green Jn	12	23	21	35	4	R1	R2	R2	R2	R2	R2	R2	R2	R1	R1	R1 30mph over Oxted Viaduct (between Oxted & Hurst Green from 20m 40ch to 20m 47ch) R2 Prohibited beyond 12m 40ch
Kent-Sussex-Wessex	0935	SO530	HGG1	Hurst Green Jn	End of Line beyond East Grinstead	Hurst Green Jn – End of Line beyond East Grinstead	21	35	30	12	6	Y	N	N	N	N	N	N	N	Y	Y	
Kent-Sussex-Wessex	0935	SO540	SCU1	Hurst Green Jn	Uckfield	Hurst Green Jn – Uckfield	21	35	46	08	4	R1	N	N	N	N	N	N	N	R1	R1	R1 30mph over Red Lane Bridge (SCU1 526) (21m 78ch) STNC/G1/2010/ICP-RA/SO018a until 31 December 2017
