Kent-Sussex-Wessex	1076	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
Kent-Sussex-Wessex	1076	SO500	VTB1	Balham Jn	Streatham North Jn	Balham Jn – Streatham North Jn	4	69	6	14	8	Y	
Kent-Sussex-Wessex	1076	SO500	SNS	Streatham North Jn	Streatham South Jn via Reversible Fast Spur	Streatham North Jn – Streatham South Jn via Reversible Fast Spur	6	16	6	35	8	Y	
Kent-Sussex-Wessex	1076	SO500	SLJ	Streatham North Jn	Streatham South Jn via Slow Spurs	Streatham North Jn – Streatham South Jn via Slow Spurs	6	14	6	38	8	Y	
Kent-Sussex-Wessex	1076	SO500	VTB1	Streatham North Jn	Selhurst Jn	Streatham North Jn – Selhurst Jn	6	14	9	43	8	Y	
Kent-Sussex-Wessex	1076	SO500	WCS	Selhurst Jn	Gloucester Road Jn	Selhurst Jn – Gloucester Road Jn	9	44	9	62	8	Y	
Kent-Sussex-Wessex	1076	SO500	VTB1	Selhurst Jn	Windmill Bridge Jn	Selhurst Jn – Windmill Bridge Jn	9	43	10	12	8	Y	
Kent-Sussex-Wessex	1076	SO500	VTB2	Windmill Bridge Jn	South Croydon Jn	Windmill Bridge Jn – South Croydon Jn	9	69	11	29	8	Y	
Kent-Sussex-Wessex	1076	SO500	VTB2	South Croydon Jn	Stoats Nest Jn	South Croydon Jn – Stoats Nest Jn	11	29	14	20	8	Y	
Kent-Sussex-Wessex	1076	SO500	RED1/ 2	Stoats Nest Jn	Redhill	Stoats Nest Jn – Redhill	14	20	22	40	8	R1	R2 Prohibited Redhill Down Post Office Siding
Kent-Sussex-Wessex	1076	SO500	RED1/ 2	Redhill	Change of Mileage (Redhill/slow lines) Via Redhill	Redhill – Change of Mileage (Redhill/slow lines) Via Redhill	22	40	23	00	8	Y	
Kent-Sussex-Wessex	1076	SO500	VTB2	Stoats Nest Jn	Change of Mileage (Quarry / fast lines)	Stoats Nest Jn – Change of Mileage (Quarry / fast lines)	14	20	23	21	8	Y	
Kent-Sussex-Wessex	1076	SO500	VTB3	Change of Mileage (Quarry / fast lines)	Three Bridges	Change of Mileage (Quarry / fast lines) – Three Bridges	21	15	29	21	8	R1	R2 Prohibited Earlswood disused platform 4 (Down Fast line)
Kent-Sussex-Wessex	1076	SO500	VTB3	Three Bridges	Copyhold Jn	Three Bridges – Copyhold Jn	29	21	36	73	8	Y	
Kent-Sussex-Wessex	1076	SO500	CJA1	Copyhold Jn	Change of Mileage	Copyhold Jn – Change of Mileage	36	73	36	33	8	Y	
Kent-Sussex-Wessex	1076	SO500	CJA2	Change of Mileage	Ardingly Sidings	Change of Mileage – Ardingly Sidings	0	00	0	70	8	Y	
Kent-Sussex-Wessex	1076	SO500	VTB3	Copyhold Jn	Keymer Jn	Copyhold Jn – Keymer Jn	36	73	40	69	8	Y	
Kent-Sussex-Wessex	1076	SO500	VTB3	Keymer Jn	Preston Park Jn	Keymer Jn – Preston Park Jn	40	69	49	43	8	R1	R2 Prohibited between Hassocks and Preston Park on the Down Main line
Kent-Sussex-Wessex	1076	SO500	PPH	Preston Park Jn	Hove Jn	Preston Park Jn – Hove Jn	49	21	50	44	8	Y	
Kent-Sussex-Wessex	1076	SO500	VTB3	Preston Park Jn	Brighton	Preston Park Jn – Brighton	49	43	50	49	8	Y	
Kent-Sussex-Wessex	1076	SO510	LBW	London Bridge platforms 10-15	Bricklayers Arms Jn	London Bridge platforms 10-15 – Bricklayers Arms Jn	0	00	2	12	8	y	
Kent-Sussex-Wessex	1076	SO510	LBW	Bricklayers Arms Jn	New Cross Gate Up Jn	Bricklayers Arms Jn – New Cross Gate Up Jn	2	12	2	60	8	Y	
Kent-Sussex-Wessex	1076	SO510	ELL1	New Cross Gate Up Jn	Network Rail Boundary / Up ELL	New Cross Gate Up Jn – Network Rail Boundary / Up ELL	5	51	5	49	8	Y	
