Western	0812	Line of route	Line of Route / Sector Description	Line of Route / Sector Description		Gauge								Notes
Western	0812					W6a	W7	W8	W9	W9Plus	W10	W10A	W12
Western	0812	GW105	Thingley Jn – North Somerset Jn	Thingley Jn	North Somerset Jn	Y	Y	S	N	N	N	N	N	S1 The following combinations are permitted, up to: 2591(h) x 2500(w) box on FEA KFA FRA FSA/FTA IFA wagons 20mph Down Line Br. MLN1 [101m 75ch]
Western	0812	GW105	North Somerset Jn – Fordgate [154m 12ch]	North Somerset Jn	Fordgate [154m 12ch]	Y *	Y	Y	N	N	N	N	N
Western	0812	GW105	Highworth Jn – Rover Works	Highworth Jn	Rover Works	Y	N	N	N	N	N	N	N
Western	0812	GW107	Worle Jn – Uphill Jn via Weston- Super -Mare	Worle Jn	Uphill Jn via Weston- Super -Mare	Y	Y	Y	N	N	N	N	N
Western	0812	GW108	Fordgate – Norton Fitzwarren Jn [164m 60ch]	Fordgate	Norton Fitzwarren Jn [164m 60ch]	Y *	Y	Y	N	N	N	N	N
Western	0812	GW108	Norton Fitzwarren Jn [164m 60ch] – Exeter St Davids Jn	Norton Fitzwarren Jn [164m 60ch]	Exeter St Davids Jn	Y*	Y Up Line ---------- S Down Line	Y Up Line ---------- S Down Line	N	N	N	N	N	S1 The following combinations are permitted, up to: 2595(h) x 2550(w) on FKA IKA IDA wagons
Western	0812	GW108	Exeter St Davids Jn – Tavistock Jn	Exeter St Davids Jn	Tavistock Jn	Y *	S	S	N	N	N	N	N	S1 The following combinations are permitted, up to: 2595(h) x 2550(w) on FKA IKA IDA wagons
Western	0812	GW108	Tavistock Jn – Penwithers Jn	Tavistock Jn	Penwithers Jn	Y *	Y	S	N	N	N	N	N	S1 The following combinations are permitted, up to: 2595(h) x 2550(w) on FKA IKA IDA wagons
Western	0812	GW108	Penwithers Jn – Penzance	Penwithers Jn	Penzance	Y *	N	N	N	N	N	N	N
Western	0812	GW108	Exeter Railway Junction – Marsh Barton	Exeter Railway Junction	Marsh Barton	Y	N	N	N	N	N	N	N
Western	0812	GW108	Tavistock Junction – Marsh Mills	Tavistock Junction	Marsh Mills	Y	N	N	N	N	N	N	N
Western	0812	GW108	Dockyard Junction – Devonport Dockyard	Dockyard Junction	Devonport Dockyard	Y	N	N	N	N	N	N	N
