Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	166 RHM	168	170	171	172	175	180	196	220	221	222	Notes
Western	0723	GW108	MLN1	Lipson Jn – Change of ELR (Site of Former Devonport Jn / Cornwall Loop)	244	35	246	15	N	R1 R2 R3 R4	N	E R1 R5	N	N	Y	Y	N	Y	Y	N
Western	0723	GW108	MLN2	Change of ELR (Site of Former Devonport Jn / Cornwall Loop) – St Budeaux Jn	247	28	250	00	N	N	N	N	N	N	Y	Y	N	Y	Y	N
Western	0723	GW108	MLN2	St Budeaux Jn – Change of ELR	250	00	256	38	N	N	N	N	N	N	Y	Y	N	Y	Y	N
Western	0723	GW108	MLN3	Change of ELR – Liskeard Jn	256	40	264	66	N	N	N	N	N	N	Y	Y	N	Y	Y	N
Western	0723	GW108	MLN3	Liskeard Jn – Lostwithiel Jn	264	66	277	54	N	N	N	N	N	N	Y	Y	N	Y	Y	N
Western	0723	GW108	MLN3	Lostwithiel Jn – Par Loop Jn	277	54	281	57	N	N	N	N	N	N	Y	Y	N	Y	Y	N
Western	0723	GW108	MLN3	Par Loop Jn – Burngullow Jn	281	57	288	26	N	N	N	N	N	N	Y	Y	N	Y	Y	N
Western	0723	GW108	MLN3	Burngullow Jn – Penwithers Jn	288	26	301	25	N	N	N	N	N	N	Y	Y	N	Y	Y	N
Western	0723	GW108	MLN3	Penwithers Jn – Change of ELR	301	25	305	65	N	N	N	N	N	N	Y	Y	N	Y	Y	N
Western	0723	GW108	MLN4	Change of ELR – St Erth Jn	305	67	320	73	N	N	N	N	N	N	Y	Y	N	Y	Y	N
Western	0723	GW108	MLN4	St Erth Jn – Penzance	320	73	326	50	N	N	N	N	N	N	Y	Y	N	Y	Y	N
Western	0723	GW110	ANL	Old Oak Common West – Greenford East Jn	3	20	7	15	Y	Y	Y	N	N	Y	Y	Y	N	Y	Y	Y
Western	0723	GW110	ANL	Greenford East Jn – Greenford West Jn	7	15	7	48	Y	Y	Y	N	N	Y	Y	Y	N	Y	Y	N
Western	0723	GW110	ANL	Greenford West Jn – Route Boundary (MD705) (Northolt Jn)	7	48	8	60	Y	Y	Y	N	N	Y	Y	Y	N	Y	Y	N
Western	0723	GW117	GEC	Greenford East Jn – Greenford South Jn	8	70	8	45	Y	Y	Y	N	N	R1	Y	Y	N	Y	Y	Y
Western	0723	GW130	AWL	Route Boundary (EA1310) (Acton Wells Jn) – Acton East Jn	0	39	0	08	Y	Y	E	N	Y	E	Y	E	N	Y	Y	Y
Western	0723	GW174	WEL1	West Ealing Jn – Drayton Green Jn	6	56	7	03	Y	Y	E	N	Y	Y	Y	Y	N	Y	Y	Y
Western	0723	GW174	WEL1	Drayton Green Jn – Greenford South Jn	7	03	8	45	Y	Y	E	N	Y	Y	Y	Y	N	Y	Y	Y
Western	0723	GW174	WEL1	Greenford South Jn – Greenford LUL Bay Jn	8	45	8	65	Y	Y	E	N	Y	Y	N	N	N	Y	Y	N
Western	0723	GW174	WEL1	Greenford LUL Bay Jn – Greenford West Jn	8	65	8	76	Y	Y	E	N	Y	Y	N	N	N	Y	Y	N
