Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	166 RHM	168	170	171	172	175	180	196	220	221	222	Notes
Western	0733	GW906	SWL	Swansea Loop East Jn – Swansea Loop West Jn	0	53	0	00	N	N	N	E R1	N	N	Y	Y	N	N	N	N
Western	0733	GW910	CWL1	Craven Arms Jn – Change of Mileage	20	01	20	12	Y	N	N	N	N	N	Y	Y	N	N	N	N
Western	0733	GW910	CWL2	Change of Mileage – Site of Former Llandovery Jn	0	00	59	14	R1 R2	N	N	N	N	N	Y	Y	N	N	N	N
Western	0733	GW910	VOT	Site of Former Llandovery Jn – Llandeilo	29	40	18	07	N	N	N	N	N	N	Y	R1	N	N	N	N
Western	0733	GW910	LLA	Llandeilo – Pantyffynnon	18	07	10	08	N	N	N	N	N	N	Y	Y	N	N	N	N
Western	0733	GW910	LLA	Pantyffynnon – Morlais Jn	10	08	3	50	N	N	N	N	N	N	Y	Y	N	N	N	N
Western	0733	GW910	LLA	Morlais Jn – Llandeilo Jn	3	50	0	00	N	N	N	N	N	N	Y	Y	N	N	N	N
Western	0733	GW915	GWA	Gwaun-cae-Gurwen – Former Jn (Change of ELR)	16	41	14	60	N	N	N	N	N	N	N	N	N	N	N	N
Western	0733	GW915	GNT	Former Jn (Change of ELR) – Pantyffynnon	14	60	10	04	N	N	N	N	N	N	N	N	N	N	N	N
Western	0733	GW930	CAN	Carmarthen Jn – End of Line (Beyond Carmarthen Station)	245	10	245	65	N	N	N	N	N	N	Y	Y	N	N	N	N
Western	0733	GW940	CAN/ CNW	Up Sidings No.2 GF – Carmarthen Bridge Jn	245	43	245	32	N	N	N	N	N	N	Y	Y	N	N	N	N
Western	0733	GW950	PEM	Whitland Jn – Pembroke RA Change	259	01	284	22	N	N	N	N	N	N	Y	Y	N	N	N	N
Western	0733	GW950	PEM	Pembroke RA Change – Pembroke Dock	284	22	286	26	N	N	N	N	N	N	Y	Y	N	N	N	N
Western	0733	GW960	SWM2	Clarbeston Road – Haverfordwest	271	08	276	08	N	N	N	N	N	N	Y	Y	N	N	N	N
Western	0733	GW960	SWM2	Haverfordwest – Change of ELR (Site of Former Johnston Jn)	276	08	280	70	N	N	N	N	N	N	Y	Y	N	N	N	N
Western	0733	GW960	MIL	Change of ELR (Site of Former Johnston Jn) – Herbranston Jn	280	70	283	12	N	N	N	N	N	N	Y	Y	N	N	N	N
Western	0733	GW960	MIL	Herbranston Jn – End of Line (Beyond Milford Haven)	283	12	284	71	N	N	N	N	N	N	Y	Y	N	N	N	N
Western	0733	GW970	GOB	Gulf Oil Branch Jn – Waterston, Gulf Oil Refinery	0	00	2	35	N	N	N	N	N	N	N	N	N	N	N	N
Western	0733	GW980	ERB	Herbrandston Jn – Robeston	0	00	1	18	N	N	N	N	N	N	N	N	N	N	N	N
