Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	166 RHM	168	170	171	172	175	180	196	220	221	222	Notes
Western	0728	GW628	TUR/ CWR	Turnchapel Branch Jn – Buffer Stops	0	00	0	78	N	N	N	N	N	N	N	N	N	N	N	N
Western	0728	GW628	FRY	Turnchapel Branch Jn – Plymouth Friary	245	17	245	40	N	N	N	N	N	N	N	N	N	N	N	N
Western	0728	GW637	DAC	St Budeaux Jn – Buffer Stops (Beyond Bere Alston)	227	22	219	75	N	N	N	N	N	N	N	N	N	N	N	N
Western	0728	GW637	CAL	Bere Alston Jn – Gunnislake	0	02	4	40	N	N	N	N	N	N	N	N	N	N	N	N
Western	0728	GW640	LIL	Liskeard – Coombe Jn	8	67	6	75	N	N	N	N	N	N	N	N	N	N	N	N
Western	0728	GW640	LOO	Coombe Jn – Looe	6	52	0	19	N	N	N	N	N	N	N	N	N	N	N	N
Western	0728	GW640	LOO	Coombe Jn – Coombe No.2 GF	6	52	6	66	N	N	N	N	N	N	N	N	N	N	N	N
Western	0728	GW642	LOO	Coombe No.2 GF – Network Rail Boundary (Moorswater)	6	66	7	20	N	N	N	N	N	N	N	N	N	N	N	N
Western	0728	GW650	LOF	Lostwithiel – Network Rail Boundary (Carne Point)	277	54	281	59	N	N	N	N	N	N	N	N	N	N	N	N
Western	0728	GW660	PAR	Par Loop Jn – St Blazey Jn	281	57	282	16	N	N	N	N	N	N	Y	Y	N	Y	Y	N
Western	0728	GW660	NEW	St Blazey Jn – Newquay	282	16	302	49	N	N	N	N	N	N	Y	Y	N	Y	Y	N
Western	0728	GW672	SDS	Burngullow Jn – Drinnick Mill	288	26	291	31	N	N	N	N	N	N	N	N	N	N	N	N
Western	0728	GW672	SDS	Drinnick Mill – Parkandillack	291	31	293	52	N	N	N	N	N	N	N	N	N	N	N	N
Western	0728	GW680	FAL1-3	Penwithers Jn – Falmouth	301	25	312	46	N	N	N	N	N	N	N	N	N	N	N	N
Western	0728	GW690	SIV	St Erth – St Ives	321	02	325	13	N	N	N	N	N	N	N	N	N	N	N	N
Western	0728	GW700	BAG2	Gloucester Barnwood Jn – Horton Road Jn	92	21	92	75	E	Y	N	Y	N	R1	Y	Y	E	Y	Y	N
Western	0728	GW700	SWM2	Horton Road Jn – Route Boundary Wales	113	61	129	00	E R1	Y	N	Y	N	R2 R3	Y	Y	N	Y	Y	N
Western	0728	GW700	SWM2	Route Boundary Wales – Severn Tunnel Jn	129	00	149	14	N	Y	N	Y	N	N	Y	Y	N	Y	Y	N
Western	0728	GW710	NO ELR	Llanwern Works East – Llanwern Works West via BSS (Corus Infrastructure)	153	08	156	03	N	N	N	N	N	N	N	N	N	N	N	N
Western	0728	GW720	EUB	Network Rail Boundary (Uskmouth) – East Usk Jn	3	07	0	00	N	N	N	N	N	N	N	N	N	N	N	N
Western	0728	GW730	SHL	Severn Bridge Jn – Craven Arms Jn	0	11	20	01	N	N	N	R1	N	N	Y	Y	R2	N	N	N
Western	0728	GW730	SHL	Craven Arms Jn – Shelwick Jn	20	01	49	26	N	N	N	N	N	N	Y	Y	N	N	N	N
