Western	0797	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	60	66	67	68	70	73	88	97/3	Notes
Western	0797	GW910	LLA	Morlais Jn	Llandeilo Jn	Morlais Jn – Llandeilo Jn	3	50	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y
Western	0797	GW915	GWA	Gwaun-cae-Gurwen	Former Jn (Change of ELR)	Gwaun-cae-Gurwen – Former Jn (Change of ELR)	16	41	14	60	5	N	Y	N	N	N	N	N	Y
Western	0797	GW915	GNT	Former Jn (Change of ELR)	Pantyffynnon	Former Jn (Change of ELR) – Pantyffynnon	14	60	10	04	5	N	R1	N	N	N	N	N	Y	R1 10mph Ammanford (12m 36.75ch)
Western	0797	GW930	CAN	Carmarthen Jn	End of Line (Beyond Carmarthen Station)	Carmarthen Jn – End of Line (Beyond Carmarthen Station)	245	10	245	65	8	Y	Y	Y	R1	Y	Y	R1	Y	R1 Prohibited Camarthen Down Side bay platform (accessible by shunt movement only)
Western	0797	GW940	CAN/ CNW	Up Sidings No.2 GF	Carmarthen Bridge Jn	Up Sidings No.2 GF – Carmarthen Bridge Jn	245	43	245	32	8	Y	Y	Y	Y	Y	Y	Y	Y
Western	0797	GW950	PEM	Whitland Jn	Pembroke RA Change	Whitland Jn – Pembroke RA Change	259	01	284	22	7	Y	Y	N	Y	Y	Y	Y	Y
Western	0797	GW950	PEM	Pembroke RA Change	Pembroke Dock	Pembroke RA Change – Pembroke Dock	284	22	286	26	6	Y	Y	N	N	N	Y	N	Y
Western	0797	GW960	SWM2	Clarbeston Road	Haverfordwest	Clarbeston Road – Haverfordwest	271	08	276	08	8	Y	Y	Y	Y	Y	Y	Y	Y
Western	0797	GW960	SWM2	Haverfordwest	Change of ELR (Site of Former Johnston Jn)	Haverfordwest – Change of ELR (Site of Former Johnston Jn)	276	08	280	70	8	Y	Y	Y	Y	Y	Y	Y	Y
Western	0797	GW960	MIL	Change of ELR (Site of Former Johnston Jn)	Herbranston Jn	Change of ELR (Site of Former Johnston Jn) – Herbranston Jn	280	70	283	12	8	Y	Y	Y	Y	Y	Y	Y	Y
Western	0797	GW960	MIL	Herbranston Jn	End of Line (Beyond Milford Haven)	Herbranston Jn – End of Line (Beyond Milford Haven)	283	12	284	71	8	Y	Y	Y	Y	Y	Y	Y	Y
Western	0797	GW970	GOB	Gulf Oil Branch Jn	Waterston, Gulf Oil Refinery	Gulf Oil Branch Jn – Waterston, Gulf Oil Refinery	0	00	2	35	8	Y	Y	Y	Y	Y	Y	Y	Y
Western	0797	GW980	ERB	Herbrandston Jn	Robeston	Herbrandston Jn – Robeston	0	00	1	18	8	Y	Y	Y	Y	Y	Y	Y	Y
