London-North-Western-North	0896	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	317	319	321	322	323	325	350	Notes
London-North-Western-North	0896	NW7001	MVM	Manchester Victoria East Jn (Man Vic West Jn – East Jn on NW6005)	Miles Platting Jn	Manchester Victoria East Jn (Man Vic West Jn – East Jn on NW6005) – Miles Platting Jn	0	09	1	30	EH	N	N	N	N	H	N
London-North-Western-North	0896	NW7001	MPR1	Miles Platting Jn	Brewery Jn	Miles Platting Jn – Brewery Jn	1	30	1	52	N	N	N	N	N	H	N
London-North-Western-North	0896	NW7001	MPR1	Brewery Jn	Thorpes Bridge Jn	Brewery Jn –Thorpes Bridge Jn	1	52	2	17	N	N	N	N	N	H	N
London-North-Western-North	0896	NW7001	MVN2	Thorpes Bridge Jn	Castleton South Jn	Thorpes Bridge Jn – Castleton South Jn	2	17	8	21	N	N	N	N	N	H	N
London-North-Western-North	0896	NW7001	MVN2	Castleton South Jn	Castleton East Jn	Castleton South Jn – Castleton East Jn	8	21	8	52	N	N	N	N	N	H	N
London-North-Western-North	0896	NW7001	MVN2	Castleton East Jn	Hall Royd Jn	Castleton East Jn – Hall Royd Jn	8	52	19	61	N	N	N	N	N	H	N
London-North-Western-North	0896	NW7001	MVN2	Hall Royd Jn	Route Boundary (LN854) (Turners Lane Jn)	Hall Royd Jn – Route Boundary (LN854) (Turners Lane Jn)	19	61	22	62	N	N	N	N	N	H	N
London-North-Western-North	0896	NW7005	CEH	Castleton East Jn	Castleton North Jn	Castleton East Jn – Castleton North Jn	0	00	0	37	N	N	N	N	N	N	N
London-North-Western-North	0896	NW7005	CPI1	Castleton South Jn	Castleton North Jn	Castleton South Jn – Castleton North Jn	8	21	8	50	N	N	N	N	N	N	N
London-North-Western-North	0896	NW7005	CPI2	Castleton North Jn	Network Rail / East Lancashire Railway Boundary (Hopwood)	Castleton North Jn – Network Rail / East Lancashire Railway Boundary (Hopwood)	8	50	9	04	N	N	N	N	N	N	N
London-North-Western-North	0896	NW7006	SFO	Todmorden Viaduct Jn	Stansfield Hall Jn	Todmorden Viaduct Jn – Stansfield Hall Jn	0	0	0	18	N	N	N	N	N	EH	N
London-North-Western-North	0896	NW7007	FCO	Farington Curve Jn	Ormskirk	Farington Curve Jn – Ormskirk	25	64	12	15	N	N	N	N	N	H	N
London-North-Western-North	0896	NW7009	FHR1	Farington Curve Jn	Lostock Hall Depot	Farington Curve Jn - Lostock Hall Depot	0	00	0	75	EH	N	N	N	N	H	N
London-North-Western-North	0896	NW7009	FHR2	Lostock Hall Depot	Lostock Hall Jn	Lostock Hall Depot – Lostock Hall Jn	0	75	1	42	EH	N	N	N	N	H	N
London-North-Western-North	0896	NW7009	FHR3	Lostock Hall Jn	Change of ELR (Site of Former Bamber Bridge Jn)	Lostock Hall Jn – Change of ELR (Site of Former Bamber Bridge Jn)	1	42	2	10	EH	N	N	N	N	H	N
London-North-Western-North	0896	NW7009	FHR4	Change of ELR (Site of Former Bamber Bridge Jn)	Blackburn Bolton Jn	Change of ELR (Site of Former Bamber Bridge Jn) – Blackburn Bolton Jn	2	10	10	11	EH	N	N	N	N	H	N
London-North-Western-North	0896	NW7009	FHR4	Blackburn Bolton Jn	Blackburn	Blackburn Bolton Jn – Blackburn	10	11	10	42	EH	N	N	N	N	H	N
London-North-Western-North	0896	NW7009	FHR5	Blackburn	Daisyfield Jn	Blackburn – Daisyfield Jn	10	42	11	09	EH	N	N	N	N	H	N
London-North-Western-North	0896	NW7009	FHR5	Daisyfield Jn	Gannow Jn	Daisyfield Jn – Gannow Jn	11	09	21	03	EH	N	N	N	N	H	N
London-North-Western-North	0896	NW7009	FHR6	Gannow Jn	Hall Royd Jn	Gannow Jn – Hall Royd Jn	21	03	30	54	EH	N	N	N	N	H	N
London-North-Western-North	0896	NW7011	LHL	Farington Jn	Limit of Electrification	Farington Jn - Limit of Electrification	0	00	0	56	EH	N	N	N	N	H	N
London-North-Western-North	0896	NW7011	LHL	Limit of Electrification	Lostock Hall Jn (Lostock Hall Lines)	Limit of Electrification - Lostock Hall Jn (Lostock Hall Lines)	0	56	0	77	EH	N	N	N	N	H	N
London-North-Western-North	0896	NW7013	DJH	Daisyfield Jn	Hellifield	Daisyfield Jn – Hellifield	11	09	34	68	EH	N	N	N	N	H	N
London-North-Western-North	0896	NW7015	PRG	End of Line (Padiham Power Station Sidings)	Rose Grove West Jn	End of Line (Padiham Power Station Sidings) – Rose Grove West Jn	1	76	0	00	N	N	N	N	N	N	N	Line out of use
London-North-Western-North	0896	NW7017	GJC	Gannow Jn	Colne	Gannow Jn – Colne	21	03	27	37	N	N	N	N	N	H	N
London-North-Western-North	0896	NW7019	MPR2	Thorpes Bridge Jn	Network Rail Boundary (Metrolink (Down Up Boundary at 2m 32ch))	Thorpes Bridge Jn – Network Rail Boundary (Metrolink (Down Up Boundary at 2m 32ch))	2	22	3	05	N	N	N	N	N	H	N
