London-North-Western-North	0950	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	59	60	66	67	68	70	73	97/3	Notes
London-North-Western-North	0950	NW3019	GLA	Gaerwen	Network Rail Boundary	Gaerwen – Network Rail Boundary	0	00	17	37	6	N	N	N	N	N	N	N	Y	Line out of use NC/G1/2008/LNW396
London-North-Western-North	0950	NW3021	FJH	Frodsham Jn	Halton Jn	Frodsham Jn – Halton Jn	1	54	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0950	NW3023	EJN	Edgeley Jn	Northenden Jn	Edgeley Jn – Northenden Jn	0	00	3	68	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0950	NW3023	WJP1	Northenden Jn	Skelton Jn	Northenden Jn – Skelton Jn	33	52	30	12	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0950	NW3023	SJD	Skelton Jn	Deansgate Jn	Skelton Jn – Deansgate Jn	0	00	0	33	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0950	NW3023	CDM1	Deansgate Jn	Change of ELR (Altrincham)	Deansgate Jn – Change of ELR (Altrincham)	7	05	8	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0950	NW3023	CDM2	Change of ELR (Altrincham)	Mickle Trafford Jn	Change of ELR (Altrincham) – Mickle Trafford Jn	7	69	35	40	8	Y	Y	Y	Y	Y	R1	Y	Y	R1 20 mph Lostock Gralam Up line bridge no.53 (19m 11ch)
London-North-Western-North	0950	NW3025	WJP1	Skelton Jn	Partington Jn Network Rail Boundary	Skelton Jn – Partington Jn Network Rail Boundary	30	12	27	20	7	R1	R1	R1	N	R1	R1	R1	R1	R1 Line out of use from Signal D.7 to the Network Rail boundary NC/G1/2008/LNW395
London-North-Western-North	0950	NW3027	CDM1	Network Rail Boundary (Metrolink)	Deansgate Jn	Network Rail Boundary (Metrolink) – Deansgate Jn	6	77	7	05	8	N	N	N	N	N	N	N	N	
London-North-Western-North	0950	NW3027	CDM1	Deansgate Jn	Altrincham	Deansgate Jn – Altrincham	7	05	8	00	8	N	N	N	N	N	N	N	N	
London-North-Western-North	0950	NW3029	SNJ	Sandbach North Jn	Northwich West Jn	Sandbach North Jn – Northwich West Jn	0	00	8	64	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0950	NW3031	NSN	Northwich South Jn	Northwich Station Jn	Northwich South Jn – Northwich Station Jn	8	37	8	66	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0950	NW3033	HEG	Hartford East Jn	Hartford North Jn (East Goods line)	Hartford East Jn – Hartford North Jn (East Goods line)	21	67	22	10	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0950	NW3035	HWG	Hartford West Jn	Hartford North Jn (West Goods line)	Hartford West Jn – Hartford North Jn (West Goods line)	0	11	0	29	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0950	NW3037	HCN	Hartford CLC Jn	Hartford Jn	Hartford CLC Jn – Hartford Jn	0	72	0	16	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0950	NW4001	CGJ5	Preston Ribble Jn	Preston (Change of ELR)	Preston Ribble Jn – Preston (Change of ELR)	21	13	21	57	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0950	NW4001	CGJ6	Preston (Change of ELR)	Preston North Jn	Preston (Change of ELR) – Preston North Jn	0	00	0	21	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0950	NW4001	CGJ6	Preston North Jn	Preston Fylde Jn	Preston North Jn – Preston Fylde Jn	0	21	0	33	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0950	NW4001	CGJ6	Preston Fylde Jn	Lancaster	Preston Fylde Jn – Lancaster	0	33	20	78	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0950	NW4001	CGJ7	Lancaster	Carnforth North Jn	Lancaster – Carnforth North Jn	0	00	6	08	8	Y	Y	Y	Y	R1	Y	Y	Y	R1 Prohibited Lancaster Bay platform 2
London-North-Western-North	0950	NW4001	CGJ7	Carnforth North Jn	Oxenholme	Carnforth North Jn – Oxenholme	6	08	19	11	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0950	NW4001	CGJ7	Oxenholme	Upperby Jn	Oxenholme – Upperby Jn	19	11	68	23	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0950	NW4001	CGJ7	Upperby Jn	Carlisle	Upperby Jn – Carlisle	68	23	69	09	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0950	NW4001	WCM1	Carlisle	Mossband Jn (Including Kingmoor Yard Goods lines)	Carlisle – Mossband Jn (Including Kingmoor Yard Goods lines)	0	00	7	57	8	Y	Y	Y	Y	R1	Y	Y	Y	R1 Prohibtied Carlisle Bay platform 7
London-North-Western-North	0950	NW4001	WCM1	Mossband Jn	Gretna Jn	Mossband Jn – Gretna Jn	7	57	8	57	8	Y	Y	Y	Y	Y	Y	Y	Y	
