London-North-Western-North	0895	NW4033	CBC2	Bransty SB (Change of ELR)	Change of ELR (Maryport)	Bransty SB (Change of ELR) – Change of ELR (Maryport)	0	16	12	05	N	N	N	N	N
London-North-Western-North	0895	NW4033	CBC3	Change of ELR (Maryport)	Carlisle South Jn	Change of ELR (Maryport) – Carlisle South Jn	0	00	27	49	N	N	N	N	N
London-North-Western-North	0895	NW4041	DAP	Dalton Jn	Park South Jn	Dalton Jn – Park South Jn	0	00	0	76	N	N	N	N	N
London-North-Western-North	0895	NW5001	CMP1	Crewe North Jn	Sandbach North Jn	Crewe North Jn – Sandbach North Jn	158	17	162	62	N	Y	Y	N	N
London-North-Western-North	0895	NW5001	CMP1	Sandbach North Jn	Wilmslow South Jn	Sandbach North Jn – Wilmslow South Jn	162	62	176	53	N	Y	Y	N	N
London-North-Western-North	0895	NW5001	CMP1	Wilmslow South Jn	Cheadle Hulme North Jn	Wilmslow South Jn – Cheadle Hulme North Jn	176	53	180	67	N	Y	Y	N	N
London-North-Western-North	0895	NW5001	CMP1	Cheadle Hulme North Jn	Edgeley Jn No.1	Cheadle Hulme North Jn – Edgeley Jn No.1	180	67	182	36	N	Y	Y	N	N
London-North-Western-North	0895	NW5001	CMP2	Edgeley Jn No.1	Edgeley Jn	Edgeley Jn No.1 – Edgeley Jn	182	36	182	59	N	Y	Y	N	N
London-North-Western-North	0895	NW5001	CMP2	Edgeley Jn	Slade Lane Jn	Edgeley Jn – Slade Lane Jn	182	59	186	46	N	R1	Y	N	N	R2 Prohibited Stockport Bay platform
London-North-Western-North	0895	NW5001	CMP2	Slade Lane Jn	Ardwick Jn	Slade Lane Jn – Ardwick Jn	186	46	188	08	N	Y	Y	N	N
London-North-Western-North	0895	NW5001	CMP2	Ardwick Jn	Manchester Piccadilly East Jn	Ardwick Jn – Manchester Piccadilly East Jn	188	08	188	48	N	R1	Y	N	N	R2 Prohibited Up East Line
London-North-Western-North	0895	NW5001	CMP2	Manchester Piccadilly East Jn	Manchester Piccadilly	Manchester Piccadilly East Jn – Manchester Piccadilly	188	48	188	70	N	R1	Y	N	N	R1 Prohibited Manchester Piccadilly platforms 11 & 12
London-North-Western-North	0895	NW5003	STY	Wilmslow South Jn	Heald Green South Jn	Wilmslow South Jn – Heald Green South Jn	0	00	2	50	N	Y	Y	N	N
London-North-Western-North	0895	NW5003	STY	Heald Green South Jn	Heald Green North Jn	Heald Green South Jn – Heald Green North Jn	2	50	3	13	N	Y	Y	N	N
London-North-Western-North	0895	NW5003	STY	Heald Green North Jn	Slade Lane Jn	Heald Green North Jn – Slade Lane Jn	3	13	9	44	N	Y	Y	N	N
London-North-Western-North	0895	NW5005	SMA	Heald Green South Jn	Heald Green West Jn	Heald Green South Jn – Heald Green West Jn	1	48	1	10	N	N	Y	N	N
London-North-Western-North	0895	NW5007	MIA	Manchester Airport	Heald Green North Jn	Manchester Airport – Heald Green North Jn	0	00	1	51	N	N	Y	N	N
London-North-Western-North	0895	NW5008	LEC6	Little Bridgeford Jn	Searchlight Lane Jn (Change of ELR and mileage) (Up line only)	Little Bridgeford Jn – Searchlight Lane Jn (Change of ELR and mileage) (Up line only)	137	42	138	55	N	Y	N	N	N
London-North-Western-North	0895	NW5008	NBS	Searchlight Lane Jn (Change of ELR and mileage)	Stone Jn	Searchlight Lane Jn (Change of ELR and mileage) – Stone Jn	4	06	0	00	N	Y	N	N	N
London-North-Western-North	0895	NW5008	NBS1	Norton Bridge Jn	Yamfield Jn (Norton Bridge East Chord)	Norton Bridge Jn – Yamfield Jn (Norton Bridge East Chord)	4	14	2	50	N	Y	N	N	N
London-North-Western-North	0895	NW5009	CMD2	Colwich Jn	Stone Jn	Colwich Jn – Stone Jn	38	61	27	00	N	T	N	N	N
London-North-Western-North	0895	NW5009	CMD2	Stone Jn	Stoke Jn	Stone Jn – Stoke Jn	27	00	20	36	N	T	N	N	N
London-North-Western-North	0895	NW5009	CMD2	Stoke Jn	Glebe Street Jn	Stoke Jn – Glebe Street Jn	20	36	20	10	N	T	N	N	N
