Anglia	0407	EA1230	SBR	Route Boundary (LN125) (Royston)	Shepreth Branch Jn	Route Boundary (LN125) (Royston) – Shepreth Branch Jn		45	60	55	26	R1 R2	R2	R2	N	R2	R2	H	N	N	N	R1 Must only run with D.C. shoe gear removed R2 See Sectional Appendix Local Instructions
Anglia	0407	EA1270	MIT	Kings Lynn Jn	Middleton towers	Kings Lynn Jn – Middleton towers		0	22	3	44	N	N	N	N	N	N	N	N	N	N
Anglia	0407	EA1270	MIT	Kings Lynn Jn	Kings Lynn Yard branch end	Kings Lynn Jn – Kings Lynn Yard branch end		0	22	0	00	N	N	N	N	N	N	N	N	N	N
Anglia	0407	EA1280	SDC	Stratford Central Jn East	Temple Mills East Jn. (Via Platforms 11 & 12 at Stratford)	Stratford Central Jn East – Temple Mills East Jn. (Via Platforms 11 & 12 at Stratford)		3	76	4	45	N	Y	Y	N	Y	Y	H	R1	N	N	R1 ECS only between Stratford and Temple Mills East Jn
Anglia	0407	EA1280	SDC	Temple Mills East Jn	Coppermill Jn	Temple Mills East Jn – Coppermill Jn		4	45	7	14	N	Y	Y	N	Y	Y	H	E R1	N	N	R1 Prohibited Ruckholt Road Jn to Coppermill Jn
Anglia	0407	EA1290	TSE2	Tottenham South Jn	Change of mileage	Tottenham South Jn – Change of mileage		5	41	5	54	N	Y	Y	N	Y	Y	H	N	N	N
Anglia	0407	EA1290	TSE1	Change of mileage	South Tottenham East Jn	Change of mileage – South Tottenham East Jn		6	22	5	73	N	Y	Y	N	Y	Y	H	N	N	N
Anglia	0407	EA1300	SSL	South Tottenham West Jn	Seven Sisters Jn	South Tottenham West Jn – Seven Sisters Jn		0	13	0	00	N	Y	Y	N	Y	Y	H	N	N	N
Anglia	0407	EA1310	BOK2	Camden Road West Jn	Gospel Oak Jn	Camden Road West Jn – Gospel Oak Jn		0	00	1	10	Y	N	N	E	N	N	Y	E	N	N
Anglia	0407	EA1310	BOK2	Gospel Oak Jn	Kensal Green Jn	Gospel Oak Jn – Kensal Green Jn		1	10	5	10	Y	N	N	E	N	N	Y	E	N	N
Anglia	0407	EA1310	KGC	Kensal Green Jn	Route Boundary (MD155) (Harlesden Jn)	Kensal Green Jn – Route Boundary (MD155) (Harlesden Jn)		0	00	0	21	Y	N	N	E	N	N	Y	N	N	N
Anglia	0407	EA1310	KGW	Kensal Green Jn	Route Boundary (MD150) (Willesden Suburban Jn)	Kensal Green Jn – Route Boundary (MD150) (Willesden Suburban Jn)		5	10	5	25	Y	N	N	N	N	N	H	N	N	N
Anglia	0407	EA1310	BOK3	Kensal Green Jn	Willesden High Level Jn	Kensal Green Jn – Willesden High Level Jn		5	10	5	48	Y	N	N	E	N	N	Y	E	N	N
Anglia	0407	EA1310	WMB	Willesden High Level Jn	Route Boundary (MD160) (Mitre Bridge Jn)	Willesden High Level Jn – Route Boundary (MD160) (Mitre Bridge Jn)		0	43	0	09	Y	N	N	E	N	N	Y	N	N	N
Anglia	0407	EA1310	BOK4	Willesden High Level Jn	Former Old Oak Jn (change of mileage)	Willesden High Level Jn – Former Old Oak Jn (change of mileage)		0	00	0	34	Y	N	N	N	N	N	H	E	N	N
Anglia	0407	EA1310	BOK4	Former Old Oak Jn (change of mileage)	Acton Wells Jn (Connection EA1360)	Former Old Oak Jn (change of mileage) – Acton Wells Jn (Connection EA1360)		0	34	0	66	Y	N	N	N	N	N	H	E	N	N
Anglia	0407	EA1310	BOK5				Acton Wells Jn (Connection to EA1360) – Acton Wells Jn (Connection to GW130)	0	66	0	72	Y	N	N	N	N	N	H	N	N	N
Anglia	0407	EA1310	AWL				Acton Wells Jn – Route Boundary (GW130) (Acton East Jn)	0	49	0	39	N	N	N	N	N	N	H	E	N	N
