Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	Notes
Anglia	0440	EA1480	WHC3	Change of Mileage (Site of Former Runton East Jn) – Cromer	45	64	46	42	Y	Y	N	N	N	N	N		
Anglia	0440	EA1490	CRS	Cromer Jn – Network Rail Boundary (North Norfolk Railway)	46	27	42	69	Y	Y	N	N	N	N	N		
Anglia	0440	EA1500	NAY	Brundall Jn – Yarmouth Via Acle	5	72	18	29	Y	Y	Y	N	N	Y	N		
Anglia	0440	EA1500	RBY	Breydon Access No24 LC (EA1510) – Yarmouth	19	13	20	45	Y	Y	Y	N	N	Y	N		
Anglia	0440	EA1510	RBY	Reedham Jn – Breydon Access No24 LC	12	34	19	13	Y	Y	Y	N	N	Y	N		
Anglia	0440	EA1520	SIZ	Saxmundham Jn – Sizewell	91	40	95	79	Y	Y	N	N	N	N	N		
Anglia	0440	EA1530	CCH	Coldham Lane Jn – Haughley Jn	0	23	40	49	Y	Y	Y	N	N	Y	N		
Anglia	0440	EA1540	SOB1	Chippenham Jn – Site of Former Snailwell Jn	0	63	0	00	Y	Y	Y	N	N	Y	N		
Anglia	0440	EA1540	SOB2	Site of Former Snailwell Jn – Ely Dock Jn	1	54	12	33	Y	Y	Y	N	N	Y	N		
Anglia	0440	EA1550	EWC	Ely North Jn – Ely West Jn (Ely West Curve)	71	63	72	63	Y	Y	Y	N	N	N	N		
Anglia	0440	EA1560	EMP	Ely North Jn – Ely West Jn	71	63	72	39	Y	Y	Y	N	N	Y	R1	R1	R2 Permitted for diversionary purposes
Anglia	0440	EA1560	EMP	Ely West Jn – Route Boundary (LN135) (Peterborough)	72	39	98	40	Y	Y	Y	N	N	Y	R1 R2	R1	R2 Permitted for diversionary purposes R3 50mph over Harts Bridge No 1833 (Centre Girder Underbridge) Down Main (94m 75ch)
Anglia	0440	EA1570	WIG	March East Jn – Whitemoor Jn	85	78	86	18	Y	Y	N	N	N	N	N		
Anglia	0440	EA1570	MWL	March West Jn – Whitemoor Jn	0	00	0	13	Y	Y	N	N	N	N	N		
Anglia	0440	EA1570	WIG	Whitemoor Jn – Wisbech	86	18	93	60	N	N	N	N	N	N	N		Line out of use (temporarily)
Anglia	0440	EA1580	ETN	Ely North Jn – Trowse Jn	71	72	123	00	Y	Y	Y	N	N	Y	N		
Anglia	0440	EA1744	BFC	Europa Jn – Boss Hall Jn	0	00	0	63	Y	Y	Y	N	N	N	N		
