Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
Anglia	0475	EA1160	BGK	Bethnal Green East Jn – Reading Lane Jn	1	10	2	55	4	R1 R2	R1 R2	N	R1 R2	N	N	R1 10mph maximum speed except for movements permitted by R2 R2 Single light engines and/or single headed locomotives hauled passenger and infrastructure measurement trains are permitted to run at line speed subject to the following restrictions: Fast lines 20mph over Bridge 1361 (2m 38ch) Suburban lines 20mph over Bridge 1337 (01m 20ch) NC/G1/2010/CP-RA/EA001V until 31 March 2022
Anglia	0475	EA1160	BGK	Reading Lane Jn – Hackney Downs North Jn	2	55	3	04	4	R1	R1	N	R1	N	N	R1 10mph maximum speed
Anglia	0475	EA1160	BGK	Hackney Downs North Jn – Coppermill Jn	3	04	4	74	8	Y	Y	Y	Y	N	N	
Anglia	0475	EA1160	BGK	Coppermill Jn – Tottenham South Jn	4	74	5	41	8	Y	Y	Y	Y	N	N	
Anglia	0475	EA1160	BGK	Tottenham South Jn – Bishops Stortford (Cannons Mill Lane Footpath LC (R/G-X)	5	41	31	31	8	Y	Y	Y	Y	N	N	
Anglia	0475	EA1161	BGK	(Cannons Mill Lane Footpath LC (R/G- X) Stansted Mountfitchet – Shepreth Branch Jn	31	31	53	06	8	R1	R1	Y	R1	N	N	R1 See Sectional Appendix Local Instructions
Anglia	0475	EA1161	BGK	Shepreth Branch Jn – Ely Dock Jn	53	06	69	79	8	R1	R1	R2	R1	H	N	R1 See Sectional Appendix Local Instructions R2 Prohibited Cambridge Bay platform 3
Anglia	0475	EA1161	BGK	Ely Dock Jn – Ely North Jn	69	79	71	68	8	R1	R1	Y	R1	H	N	R1 See Sectional Appendix Local Instructions
Anglia	0475	EA1162	BGK	Ely North Jn – Kings Lynn	71	68	96	75	8	R1	R1	Y	R1	N	N	R1 See Sectional Appendix Local Instructions
Anglia	0475	EA1170	HDT	Hackney Downs North Jn – Seven Sisters Jn	3	04	5	70	8	Y	Y	Y	Y	N	N	
Anglia	0475	EA1170	HDT	Seven Sisters Jn – Bury Street Jn	5	70	9	20	8	Y	Y	Y	Y	N	N	
Anglia	0475	EA1170	ENT	Bury Street Jn – Enfield Town	9	20	10	55	8	Y	Y	Y	Y	N	N	
Anglia	0475	EA1180	GRE	Reading Lane Jn – Navarino Road Jn (Graham Rd Curve)	2	55	2	79	8	Y	Y	Y	Y	N	N	
Anglia	0475	EA1190	HDT	Bury Street Jn – Cheshunt Jn	9	20	14	28	8	Y	Y	Y	Y	N	N	
Anglia	0475	EA1200	CJC	Clapton Jn – Chingford	4	37	10	33	7	Y	Y	Y	Y	N	N	
Anglia	0475	EA1210	HEB	Broxbourne Jn – Hertford East	18	35	24	19	9	Y	Y	Y	Y	N	N	
Anglia	0475	EA1220	TLA	Stansted South Jn – Stansted East Jn	33	54	34	26	8	Y	Y	Y	Y	N	N	
