Anglia	0472	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	RA	Loco Gauge	Notes
Anglia	0472	EA1010	LTN1	Liverpool Street platforms 1-10	Liverpool St (L) IECC	Liverpool Street platforms 1-10 – Liverpool St (L) IECC	0	00	0	22	8	R1	R1 Prohibited Liverpool Street platform 10
Anglia	0472	EA1010	LVS	Liverpool Street platforms 11-18	Liverpool St (L) IECC	Liverpool Street platforms 11-18 – Liverpool St (L) IECC	0	00	0	22	8	Y	
Anglia	0472	EA1010	LTN1	Liverpool St (L) IECC	Bethnal Green East Jn	Liverpool St (L) IECC – Bethnal Green East Jn	0	22	1	10	8	R1	R1 Prohibited between Liverpool Street station throat and Bethnal Green West Jn on the Down Suburban line and Up Main line
Anglia	0472	EA1010	LTN1	Bethnal Green East Jn	Mile End	Bethnal Green East Jn – Mile End	1	10	2	02	8	Y	
Anglia	0472	EA1010	LTN1	Mile End	Bow Jn	Mile End – Bow Jn	2	02	2	74	8	Y	
Anglia	0472	EA1010	LTN1	Bow Jn	Carpenters Road South Jn	Bow Jn – Carpenters Road South Jn	2	74	3	54	8	R1	R1 Prohibited between Bow Jn and the former connection to Thornton Fields sidings (3m 32ch) on the Up Temple Mills line
Anglia	0472	EA1010	LTN1	Carpenters Road South Jn	Stratford Central Jn West	Carpenters Road South Jn – Stratford Central Jn West	3	54	3	70	8	Y	
Anglia	0472	EA1010	LTN1	Stratford Central Jn West	Stratford Central Jn East	Stratford Central Jn West – Stratford Central Jn East	3	70	3	75	8	Y	
Anglia	0472	EA1010	LTN1	Stratford Central Jn East	Forest Gate Jn	Stratford Central Jn East – Forest Gate Jn	3	75	5	63	8	R1	R1 Prohibited Maryland platform 3 (Up Main line)
Anglia	0472	EA1010	LTN1	Forest Gate Jn	Ilford Depot London End	Forest Gate Jn – Ilford Depot London End	5	63	7	63	8	R1 R2	R1 Prohibited between Manor Park and Ilford on the Up Passenger Avoiding line R2 Prohibited Ilford bay platform 5 (Down Avoiding line)
Anglia	0472	EA1010	LTN1	Ilford Depot London End	Seven Kings	Ilford Depot London End – Seven Kings	7	63	8	45	8	Y	
