London-North-Eastern	1238	Line of Route	Line of Route / Sector Description	Line of Route / Sector Description		Gauge								Notes
London-North-Eastern	1238					W6	W7	W8	W9	W9Plus	W10	W10A	W12
London-North-Eastern	1238	LN185	Barkston East Jn., Former site of – Boston, Sleaford Line Jn., Former site of	Barkston East Jn., Former site of	Boston, Sleaford Line Jn., Former site of	Y *	Y	Y	N	N	N	N	N
London-North-Eastern	1238	LN185	Boston, Sleaford Line Jn., Former site of – Skegness	Boston, Sleaford Line Jn., Former site of	Skegness	Y *	N	N	N	N	N	N	N
London-North-Eastern	1238	LN190	Allington East Jn – Allington North Jn	Allington East Jn	Allington North Jn	Y	Y	Y	N	N	N	N	N
London-North-Eastern	1238	LN195	Grantham, Nottingham Branch Jn – Bottesford West Jn	Grantham, Nottingham Branch Jn	Bottesford West Jn	Y	Y	Y	N	N	N	N	N
London-North-Eastern	1238	LN200	Wrawby Jn – Pelham Street Jn	Wrawby Jn	Pelham Street Jn	Y	Y	Y	N	N	N	N	N
London-North-Eastern	1238	LN206	Staythorpe Crossing – Boultham Jn	Staythorpe Crossing	Boultham Jn	Y	Y	Y	N	N	N	N	N
London-North-Eastern	1238	LN206	Boultham Jn – West Holmes Jn	Boultham Jn	West Holmes Jn	Y	Y	Y	Y	N	Y	N	Y
London-North-Eastern	1238	LN210	Newark Crossing Curve	Newark Crossing Curve		Y	Y	Y	N	N	N	N	N
London-North-Eastern	1238	LN215	Boultham Jn – Pyewipe Jn	Boultham Jn	Pyewipe Jn	Y	Y	Y	Y	N	Y	N	Y
London-North-Eastern	1238	LN220	Bessacarr Jn – Black Carr Jn	Bessacarr Jn	Black Carr Jn	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1238	LN235	Rossington Colliery Branch	Rossington Colliery Branch		Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1238	LN600	Shaftholme Jn – Colton Jn	Shaftholme Jn	Colton Jn	Y *	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1238	LN600	Colton Jn – York	Colton Jn	York	Y *	Y	Y	Y	R1	R1	R1	R1	R1 PROHIBITED Holgate Jn to York
London-North-Eastern	1238	LN600	York – Newcastle via East Coast Main Line	York	Newcastle via East Coast Main Line	Y *	Y	Y	Y	R1 R2 R3 R4 R5 R6 R7 R8 R9	R1 R2 R3 R4 R5 R6 R7 R8 R9	R1 R2 R3 R4 R5 R6 R7 R8 R9	R1 R2 R3 R4 R5 R6 R7 R8 R9	R1 PROHIBITED York to Skelton Jn R2 PROHIBITED Darlington platform 1 (permitted at the north end to access Up/Down Station Loop) R3 PROHIBITED Darlington bay platform 2 R4 PROHIBITED Darlington bay platform 3 R5 PROHIBITED Darlington platform 4 R6 PROHIBITED Darlington Down Bypass R7 PROHIBITED over King Edwards Bridge on the Up Main R8 PROHIBITED over King Edwards Bridge on the Down Main R9 PROHIBITED Newcastle platforms 2, 3, 4, 5/6, 7/8, 9, 10, 11 and 12
London-North-Eastern	1238	LN600	Newcastle – Reston GSP	Newcastle	Reston GSP	Y *	Y	Y	Y	R1 R2	R1 R2	R1 R2	R1 R2	R1 PROHIBITED between Newcastle East Jn and Argyle St Jn on the Up R2 PROHIBITED between Newcastle East Jn and Argyle St Jn on the Down
London-North-Eastern	1238	LN600	Birtley Junction – Low Fell Junction via Tyne Yard	Birtley Junction	Low Fell Junction via Tyne Yard	Y	Y	Y	Y	Y	Y	Y	Y
