London-North-Eastern	1120	LN627	LLP3	Longlands Jn (Up Line)	Boroughbridge Road LC	Longlands Jn (Up Line) – Boroughbridge Road LC	0	69	0	00	N	N	N	N	N	N	N
London-North-Eastern	1120	LN627	LLP2	Boroughbridge Road LC	Northallerton East Jn	Boroughbridge Road LC – Northallerton East Jn	42	21	42	79	N	N	N	N	N	N	N
London-North-Eastern	1120	LN627	LEN3	Northallerton East Jn	Billingham Jn	Northallerton East Jn – Billingham Jn	42	79	63	69	N	N	N	N	N	N	N
London-North-Eastern	1120	LN627	LEN3	Billingham Jn	Ryhope Grange Jn	Billingham Jn – Ryhope Grange Jn	63	69	87	63	N	N	N	N	N	N	N
London-North-Eastern	1120	LN627	LEN3	Ryhope Grange Jn	Sunderland South Jn	Ryhope Grange Jn – Sunderland South Jn	87	63	89	56	N	N	N	N	N	N	N
London-North-Eastern	1120	LN627	LEN3	Sunderland South Jn	Boldon East Jn	Sunderland South Jn – Boldon East Jn	89	56	94	63	N	N	N	N	N	Y	N
London-North-Eastern	1120	LN627	LEN3	Boldon East Jn	Boldon West Jn	Boldon East Jn – Boldon West Jn	94	63	95	16	N	N	N	N	N	Y	N
London-North-Eastern	1120	LN627	LEN3	Boldon West Jn	Pelaw Metro Jn	Boldon West Jn – Pelaw Metro Jn	95	16	97	64	N	N	N	N	N	Y	N
London-North-Eastern	1120	LN627	LEN3	Pelaw Metro Jn	Park Lane Jn	Pelaw Metro Jn – Park Lane Jn	97	64	100	65	N	N	N	N	N	N	N
London-North-Eastern	1120	LN627	LEN3	Park Lane Jn	High Level Bridge Jn	Park Lane Jn – High Level Bridge Jn	100	65	101	33	N	N	N	N	N	N	N
London-North-Eastern	1120	LN627	LEN3	High Level Bridge Jn	Newcastle East Jn	High Level Bridge Jn – Newcastle East Jn	101	33	101	59	N	N	N	N	N	N	N
London-North-Eastern	1120	LN628	NEK	South Hylton	Sunderland South Jn	South Hylton – Sunderland South Jn	3	20	0	00	N	N	N	N	N	Y	N
London-North-Eastern	1120	LN629	PDL	Pelaw Metro Jn	Network Rail Boundary (Metro Operating)	Pelaw Metro Jn – Network Rail Boundary (Metro Operating)	97	64	98	01	N	N	N	N	N	Y	N
London-North-Eastern	1120	LN630	PUL	Pelaw Metro Jn	Network Rail Boundary (Metro Operating)	Pelaw Metro Jn – Network Rail Boundary (Metro Operating)	97	64	97	77	N	N	N	N	N	Y	N
London-North-Eastern	1120	LN631	DSN1	Darlington South Jn	Eaglescliffe South Jn	Darlington South Jn – Eaglescliffe South Jn	0	29	8	58	N	N	N	N	N	N	N
London-North-Eastern	1120	LN632	DSN2	Stockton Cut Jn	Redcar Change of Mileage	Stockton Cut Jn – Redcar Change of Mileage	10	13	21	72	N	N	N	N	N	N	N
London-North-Eastern	1120	LN632	DSN3	Redcar Change of Mileage	Saltburn	Redcar Change of Mileage – Saltburn	22	16	27	57	N	N	N	N	N	N	N
London-North-Eastern	1120	LN634	MBW1	Guisborough Jn	Battersby Jn	Guisborough Jn – Battersby Jn	0	00	10	54	N	N	N	N	N	N	N
London-North-Eastern	1120	LN634	MBW2	Battersby Jn (End of Line)	Grosmont Jn	Battersby Jn (End of Line) – Grosmont Jn	11	61	29	66	N	N	N	N	N	N	N
London-North-Eastern	1120	LN634	MBW3	Grosmont Jn	Whitby	Grosmont Jn – Whitby	24	44	30	61	N	N	N	N	N	N	N
London-North-Eastern	1120	LN636	No ELR	Beam Mill Jn	Network Rail Boundary	Beam Mill Jn – Network Rail Boundary	18	03	18	67	N	N	N	N	N	N	N
London-North-Eastern	1120	LN638	WCI	Shell Jn	Network Rail Boundary	Shell Jn – Network Rail Boundary	0	00	1	03	N	N	N	N	N	N	N
London-North-Eastern	1120	LN642	SSK1	Saltburn West Jn	Network Rail Boundary (Cleveland Potash)	Saltburn West Jn – Network Rail Boundary (Cleveland Potash)	27	05	34	29	N	N	N	N	N	N	N
London-North-Eastern	1120	LN644	BOH	Hartburn Jn	Bowesfield SB (Hartburn Curve)	Hartburn Jn – Bowesfield SB (Hartburn Curve)	0	00	0	44	N	N	N	N	N	N	N
