Route	page	Line of Route	Line of Route / Sector Description	W6	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
London-North-Eastern	1250	LN632	Stockton Cut Jn – Saltburn	Y *	Y	Y	R1 R2 R3 R4 R5 R6 R7 R8 R9	R1 R2 R3 R4 R5 R6 R7 R8 R9	R1 R2 R3 R4 R5 R6 R7 R8 R9	R1 R2 R3 R4 R5 R6 R7 R8 R9	R1 R2 R3 R4 R5 R6 R7 R8 R9	R1 PROHIBITED Shell Jn to Saltburn R2 PROHIBITED from Tees Yard R3 PROHIBITED on the Up Goods No 2 between Thornaby East Jn and Newport East Jn R4 PROHIBITED on the Down Goods between Thornaby East Jn and Newport East Jn R5 PROHIBITED on the Up Main between Newport East Jn and Whitehouse R6 PROHIBITED on the Down Main between Newport East Jn and Whitehouse R7 PROHIBITED on the Up Main between South Bank Jn and Grangetown Jn R8 PROHIBITED on the Down Main between South Bank Jn and Shell Jn R9 PROHIBITED on the Grangetown Beam Mill line
London-North-Eastern	1250	LN632	Thornaby East Jn – Newport East Jn via Tees Yard	Y *	Y	Y	N	N	N	N	N	
London-North-Eastern	1250	LN632	Newport East Jn – Middlesborough Goods Yard	Y *	N	N	N	N	N	N	N	Middlesborough Goods Yard = DB Schenker responsibility
London-North-Eastern	1250	LN632	Redcar Ore Terminal Jn – Redcar Ore Terminal (NR Limit) [ 20m 25ch ]	Y *	Y	Y	N	N	N	N	N	Redcar Ore Terminal = Corus responsibility
London-North-Eastern	1250	LN634	Guisborough Jn – Whitby	Y *	N	N	N	N	N	N	N	
London-North-Eastern	1250	LN636	Beam Mill Jn – Slag Road (Lackenby)	Y	Y	Y	N	N	N	N	N	
London-North-Eastern	1250	LN638	Grangetown (Shell Jn) – Cleveland Freightliner Terminal (Wilton)	Y	Y	Y	R1	R1	R1	R1	R1	R1 PROHIBITED ICI Wilton Jn to Cleveland Freightliner Terminal (Wilton) (non NR Infrastructure) Part NR Infrastructure - NR Boundary at 1m 03ch
London-North-Eastern	1250	LN640	ICI Wilton Coal Terminal	-	-	-	-	-	-	-	-	Not NR Infrastructure
London-North-Eastern	1250	LN642	Saltburn West Jn – Boulby Potash Mine	Y	N	N	N	N	N	N	N	Part NR Infrastructure - - NR Boundary at 34m 29ch
London-North-Eastern	1250	LN644	Hartburn Curve	Y	Y	Y	N	N	N	N	N	
