London-North-Eastern	1171	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	37/5	37/7 37/9	43	47/2	47/4	47/7	56	57	58	59	Notes
London-North-Eastern	1171	LN627	LEN3	High Level Bridge Jn	Newcastle East Jn	High Level Bridge Jn – Newcastle East Jn	101	33	101	59	5	R1	R1	Y	R1	R1	R1	R1	R1	R1	R1	R1 Movement of all freight trains (including Engineering and ‘Departmental’ trains) greater than RA5 over High Level Bridge (LEN3/323) must first be authorised by the Infrastructure Manager’s structures engineer or their on-call representative
London-North-Eastern	1171	LN628	NEK	South Hylton	Sunderland South Jn	South Hylton – Sunderland South Jn	3	20	0	00	8	R1	R1	R1	R1	R1	R1	R1	R1	R1	R1	R1 Permitted for the purposes of track recording and maintenance only
London-North-Eastern	1171	LN629	PDL	Pelaw Metro Jn	Network Rail Boundary (Metro Operating)	Pelaw Metro Jn – Network Rail Boundary (Metro Operating)	97	64	98	01	8	N	N	N	N	N	N	N	N	N	N
London-North-Eastern	1171	LN630	PUL	Pelaw Metro Jn	Network Rail Boundary (Metro Operating)	Pelaw Metro Jn – Network Rail Boundary (Metro Operating)	97	64	97	77	8	N	N	N	N	N	N	N	N	N	N
London-North-Eastern	1171	LN631	DSN1	Darlington South Jn	Eaglescliffe South Jn	Darlington South Jn – Eaglescliffe South Jn	0	29	8	58	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1171	LN632	DSN2	Stockton Cut Jn	Redcar Change of Mileage	Stockton Cut Jn – Redcar Change of Mileage	10	13	21	72	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1171	LN632	DSN3	Redcar Change of Mileage	Saltburn	Redcar Change of Mileage – Saltburn	22	16	27	57	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1171	LN634	MBW1	Guisborough Jn	Battersby Jn	Guisborough Jn – Battersby Jn	0	00	10	54	7	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1171	LN634	MBW2	Battersby Jn (End of Line)	Grosmont Jn	Battersby Jn (End of Line) – Grosmont Jn	11	61	29	66	7	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1171	LN634	MBW3	Grosmont Jn	Whitby	Grosmont Jn – Whitby	24	44	30	61	7	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1171	LN636	No ELR	Beam Mill Jn	Network Rail Boundary	Beam Mill Jn – Network Rail Boundary	18	03	18	67	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1171	LN638	WCI	Shell Jn	Network Rail Boundary	Shell Jn – Network Rail Boundary	0	00	1	03	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1171	LN642	SSK1	Saltburn West Jn	Network Rail Boundary (Cleveland Potash)	Saltburn West Jn – Network Rail Boundary (Cleveland Potash)	27	05	34	29	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1171	LN644	BOH	Hartburn Jn	Bowesfield SB (Hartburn Curve)	Hartburn Jn – Bowesfield SB (Hartburn Curve)	0	00	0	44	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1171	LN646	STF	Norton-on-Tees South	Ferryhill South Jn	Norton-on-Tees South – Ferryhill South Jn	0	00	10	72	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1171	LN648	NWE	Norton-on-Tees West	Norton-on-Tees East	Norton-on-Tees West – Norton-on-Tees East	0	29	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1171	LN652	POC1	Billingham Jn	Phillips Siding Jn	Billingham Jn – Phillips Siding Jn	0	00	3	25	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
