Scotland	1042	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	37/7 37/9	Notes
Scotland	1042	SC178	CWH3	Thornton South Jn	Thornton West Jn	Thornton South Jn – Thornton West Jn	35	38	34	62	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1042	SC181	CDC1	Ladybank Jn	Change of ELR	Ladybank Jn – Change of ELR	0	03	14	10	8 R1	Y	Y	Y	Y	Y	Y	Y	Y	Y	R1 RA Change STNC NC/G1/2008/SCOT0337 applies until 29/08/2013
Scotland	1042	SC181	CDC2	Change of ELR	Hilton Jn	Change of ELR – Hilton Jn	44	18	45	66	8 R1	Y	Y	Y	Y	Y	Y	Y	Y	Y	R1 RA Change STNC NC/G1/2008/SCOT0337 applies until 29/08/2013
Scotland	1042	SC183	SAA	Stirling Middle Jn	Change of ELR	Stirling Middle Jn – Change of ELR	0	00	8	14	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1042	SC183	KNE1	Change of ELR	Longannet	Change of ELR – Longannet	0	00	5	62	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1042	SC183	KNE1	Longannet	Change of ELR	Longannet – Change of ELR	5	62	14	14	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1042	SC183	KNE2	Change of ELR	Charlestown Jn	Change of ELR – Charlestown Jn	14	14	15	39	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1042	SC189	CRE	Westfield	Change of Mileage	Westfield – Change of Mileage	28	77	33	04	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1042	SC189	CRE	Change of Mileage	Redford Jn (Goods Line)	Change of Mileage – Redford Jn (Goods Line)	33	28	33	45	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1042	SC191	ECN2	Dundee Central Jn	Dundee	Dundee Central Jn – Dundee	58	69	59	14	8 R1	Y	Y	Y	Y	Y	Y	Y	Y	Y	R1 RA Change STNC NC/G1/2008/SCOT0337 applies until 29/08/2013
Scotland	1042	SC191	ECN2	Dundee	Camperdown Jn	Dundee – Camperdown Jn	59	14	59	77	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1042	SC191	ECN3	Camperdown Jn	Change of ELR (Arbroath SB)	Camperdown Jn – Change of ELR (Arbroath SB)	0	21	17	17	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1042	SC191	ECN4	Change of ELR (Arbroath SB)	Change of ELR (Montrose)	Change of ELR (Arbroath SB) – Change of ELR (Montrose)	17	55	33	28	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1042	SC191	ECN5	Change of ELR (Montrose)	Craiginches	Change of ELR (Montrose) – Craiginches	203	11	239	55	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1042	SC191	ECN5	Craiginches	Aberdeen	Craiginches – Aberdeen	239	55	241	06	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1042	SC193	HGL1	Perth South Jn	Change of ELR	Perth South Jn – Change of ELR	150	61	158	38	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1042	SC193	HGL2	Change of ELR	Stanley Jn	Change of ELR – Stanley Jn	7	02	7	07	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1042	SC193	HGL2	Stanley Jn	Milburn Jn	Stanley Jn – Milburn Jn	7	07	143	39	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Scotland	1042	SC193	HGL2	Milburn Jn	Welsh's Bridge Jn	Milburn Jn – Welsh's Bridge Jn	117	37	117	56	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
