Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	MK5A	Notes
Scotland	1047	SC003	ECA2	Carstairs East Jn – Slateford Jn	74	10	99	01	Y	Y	Y	N	N	N	Y	Y	Y	
Scotland	1047	SC003	ECA3	Slateford Jn – Haymarket East Jn	99	01	100	41	Y	Y	Y	N	N	N	Y	Y	Y	
Scotland	1047	SC005	CSP	Carstairs Station Jn – Carstairs East Jn	73	37	74	10	Y	Y	Y	N	N	N	Y	Y	Y	
Scotland	1047	SC007	EGS2	Midcalder Jn – Holytown Jn	23	11	1	27	Y	Y	Y	N	N	N	Y	Y	N	
Scotland	1047	SC009	LNK	Lanark – Lanark Jn	2	45	0	03	Y	Y	N	N	N	N	N	N	N	
Scotland	1047	SC011	WWD	Law Jn – Holytown Jn	84	08	89	66	Y	Y	Y	N	N	N	Y	Y	N	
Scotland	1047	SC011	EGS2	Holytown Jn – Mossend East Jn	1	27	0	40	Y	Y	Y	N	N	N	Y	Y	N	
Scotland	1047	SC011	EGS1	Mossend East Jn – Uddingston Jn	3	63	0	03	Y	Y	Y	N	N	N	Y	Y	N	
Scotland	1047	SC013	SHR	Wishaw Central Jn – Shieldmuir Jn	86	63	87	43	Y	Y	Y	N	N	N	Y	Y	N	
Scotland	1047	SC015	MDN	Mossend East Jn – Mossend North Jn (North Curve)	0	40	0	06	Y	Y	Y	N	N	N	Y	Y	N	
Scotland	1047	SC017	MDE	Mossend East Jn – Mossend South Jn (East Curve)	0	31	0	00	Y	Y	Y	N	N	N	Y	Y	N	
Scotland	1047	SC019	MDW	Mossend South Jn – Mossend West Jn (West Curve)	91	08	91	50	Y	Y	Y	N	N	N	Y	Y	N	
Scotland	1047	SC021	COS2	Coltness – Change of ELR	0	09	0	00	N	N	N	N	N	N	N	N	N	
Scotland	1047	SC021	COS1	Change of ELR – Garriongill Jn	14	15	15	29	N	N	N	N	N	N	N	N	N	
Scotland	1047	SC023	HMN1	Motherwell – Change of ELR	0	08	1	44	Y	Y	Y	N	N	N	Y	Y	N	
Scotland	1047	SC023	HMN2	Change of ELR – Newton, Hamilton Jn	6	61	0	00	Y	Y	Y	N	N	N	Y	Y	N	
Scotland	1047	SC024	LRK	Larkhall – Haughhead Jn	3	00	0	00	Y	Y	Y	N	N	N	N	N	N	
Scotland	1047	SC025	ARG1	Rutherglen Central Jn – Bridgeton Yard North End	0	00	0	43	Y	Y	Y	N	N	N	N	Y	N	
Scotland	1047	SC025	ARG2	Bridgeton Yard North End – Exhibition Centre	0	86	4	03	Y	Y	Y	N	N	N	N	Y	N	
Scotland	1047	SC025	ARG2	Exhibition Centre – Finnieston East Jn (Down line)	4	03	4	41	Y	Y	Y	N	N	N	N	Y	N	
Scotland	1047	SC025	ARG2	Exhibition Centre – Finnieston West Jn (Up line)	4	03	4	74	Y	Y	Y	N	N	N	N	Y	N	
Scotland	1047	SC027	RNC	Rutherglen West Jn – Rutherglen North Jn (West Curve)	0	00	0	29	Y	Y	Y	N	N	N	N	Y	N	
Scotland	1047	SC029	CLY	Larkfield Jn – Terminus Jn	101	01	101	62	Y	Y	Y	N	N	N	N	Y	N	
