Scotland	1004	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	314	318	320/3	320/4	322	325	Notes
Scotland	1004	SC175	RHD1	Change of ELR	Inverkeithing South Jn (Goods Line)	Change of ELR – Inverkeithing South Jn (Goods Line)	1	00	0	02	N	N	N	N	N	N
Scotland	1004	SC176	IGE	Inverkeithing North Jn	Inverkeithing East Jn (Inverkeithing Curve)	Inverkeithing North Jn – Inverkeithing East Jn (Inverkeithing Curve)	0	33	0	00	N	N	N	N	N	N
Scotland	1004	SC177	MTL1	Thornton North Jn	Change of ELR	Thornton North Jn – Change of ELR	0	11	4	65	N	N	N	N	N	N
Scotland	1004	SC177	MTL2	Change of ELR	Methill Power Station (Goods Line)	Change of ELR – Methill Power Station (Goods Line)	7	34	6	48	N	N	N	N	N	N
Scotland	1004	SC178	CWH3	Thornton South Jn	Thornton West Jn	Thornton South Jn – Thornton West Jn	35	38	34	62	N	N	N	N	N	H
Scotland	1004	SC181	CDC1	Ladybank Jn	Change of ELR	Ladybank Jn – Change of ELR	0	03	14	10	N	N	N	N	N	H
Scotland	1004	SC181	CDC2	Change of ELR	Hilton Jn	Change of ELR – Hilton Jn	44	18	45	66	N	N	N	N	N	H
Scotland	1004	SC183	SAA	Stirling Middle Jn	Change of ELR	Stirling Middle Jn – Change of ELR	0	00	8	14	N	N	N	N	N	N
Scotland	1004	SC183	KNE1	Change of ELR	Longannet	Change of ELR – Longannet	0	00	5	62	N	N	N	N	N	N
Scotland	1004	SC183	KNE1	Longannet	Change of ELR	Longannet – Change of ELR	5	62	14	14	N	N	N	N	N	N
Scotland	1004	SC183	KNE2	Change of ELR	Charlestown Jn	Change of ELR – Charlestown Jn	14	14	15	39	N	N	N	N	N	N
Scotland	1004	SC189	CRE	Westfield	Change of Mileage	Westfield – Change of Mileage	28	77	33	04	N	N	N	N	N	N
Scotland	1004	SC189	CRE	Change of Mileage	Redford Jn (Goods Line)	Change of Mileage – Redford Jn (Goods Line)	33	28	33	45	N	N	N	N	N	N
Scotland	1004	SC191	ECN2	Dundee Central Jn	Dundee	Dundee Central Jn – Dundee	58	69	59	14	N	N	N	N	N	H
Scotland	1004	SC191	ECN2	Dundee	Camperdown Jn	Dundee – Camperdown Jn	59	14	59	77	N	N	N	N	N	H
Scotland	1004	SC191	ECN3	Camperdown Jn	Change of ELR (Arbroath SB)	Camperdown Jn – Change of ELR (Arbroath SB)	0	21	17	17	N	N	N	N	N	H
Scotland	1004	SC191	ECN4	Change of ELR (Arbroath SB)	Change of ELR (Montrose)	Change of ELR (Arbroath SB) – Change of ELR (Montrose)	17	55	33	28	N	N	N	N	N	H
Scotland	1004	SC191	ECN5	Change of ELR (Montrose)	Craiginches	Change of ELR (Montrose) – Craiginches	203	11	239	55	N	N	N	N	N	H
Scotland	1004	SC191	ECN5	Craiginches	Aberdeen	Craiginches – Aberdeen	239	55	241	06	N	N	N	N	N	H R1	R1 Prohibited Aberdeen platforms 5 & 7
Scotland	1004	SC193	HGL1	Perth South Jn	Change of ELR	Perth South Jn – Change of ELR	150	61	158	38	N	N	N	N	N	H
Scotland	1004	SC193	HGL2	Change of ELR	Stanley Jn	Change of ELR – Stanley Jn	7	02	7	07	N	N	N	N	N	H
Scotland	1004	SC193	HGL2	Stanley Jn	Milburn Jn	Stanley Jn – Milburn Jn	7	07	143	39	N	N	N	N	N	N
Scotland	1004	SC193	HGL2	Milburn Jn	Welsh's Bridge Jn	Milburn Jn – Welsh's Bridge Jn	117	37	117	56	N	N	N	N	N	H
Scotland	1004	SC193	RSW	Welsh's Bridge Jn	Rose Street Jn	Welsh's Bridge Jn – Rose Street Jn	117	56	118	03	N	N	N	N	N	H
